,host_id,host_since,host_verifications,host_total_listings_count,host_is_superhost,host_response_rate,neighbourhood
8913,381242156,2020-12-22,"['email', 'phone']",1.0,f,100%,"New York, United States"
8914,159355723,2017-11-19,"['email', 'phone']",168.0,f,92%,"New York, United States"
8927,58389790,2016-02-11,"['email', 'phone']",1.0,f,,
8928,4666670,2013-01-11,"['email', 'phone']",23.0,f,71%,
8932,515095,2011-04-17,"['email', 'phone']",2.0,t,100%,"Brooklyn, New York, United States"
8934,385750812,2021-01-23,"['email', 'phone']",18.0,t,100%,
8941,117738,2010-05-03,"['email', 'phone', 'work_email']",11.0,f,88%,
8942,16427741,2014-06-05,"['email', 'phone']",1.0,t,100%,
8943,4303181,2012-12-02,"['email', 'phone']",3.0,f,50%,"Brooklyn, New York, United States"
8944,4363775,2012-12-09,"['email', 'phone']",3.0,f,,"Brooklyn, New York, United States"
8945,8977158,2013-09-21,"['email', 'phone']",2.0,t,100%,"Brooklyn , New York, United States"
8947,464797341,2022-06-17,"['email', 'phone']",6.0,f,100%,
8951,462518756,2022-06-04,['phone'],1.0,f,100%,"Queens, New York, United States"
8952,135577694,2017-06-17,"['email', 'phone']",2.0,f,100%,
8953,80917634,2016-06-30,"['email', 'phone']",1.0,f,90%,"Queens, New York, United States"
8954,182363374,2018-04-04,"['email', 'phone']",46.0,f,99%,"Queens, New York, United States"
8960,155924492,2017-10-23,"['email', 'phone', 'work_email']",1.0,f,,"Queens, New York, United States"
8961,33159631,2015-05-11,"['email', 'phone']",1.0,t,100%,"Brooklyn, New York, United States"
8962,5912357,2013-04-13,"['email', 'phone']",1.0,t,100%,"Brooklyn, New York, United States"
8963,6097120,2013-04-25,['phone'],1.0,f,,"Brooklyn, New York, United States"
8964,65109990,2016-03-30,"['email', 'phone']",4.0,f,100%,"Brooklyn, New York, United States"
8968,466454290,2022-06-27,"['email', 'phone']",2.0,f,100%,"Brooklyn, New York, United States"
8970,385866112,2021-01-24,['phone'],1.0,t,100%,
8971,167371241,2018-01-12,"['email', 'phone']",1.0,t,100%,"Brooklyn, New York, United States"
8972,9289171,2013-10-07,"['email', 'phone', 'work_email']",29.0,,100%,"Brooklyn , New York, United States"
8976,526029430,2023-07-16,"['email', 'phone']",3.0,f,100%,
8979,35209591,2015-06-07,"['email', 'phone']",1.0,t,100%,
8980,3952722,2012-10-23,"['email', 'phone']",3.0,f,100%,"Brooklyn, New York, United States"
8981,390268689,2021-02-26,"['email', 'phone']",1.0,f,100%,
8982,10471651,2013-12-06,"['email', 'phone']",4.0,f,100%,"New York, United States"
8983,607823,2011-05-20,['phone'],5.0,f,90%,"Brooklyn, New York, United States"
8984,3558909,2012-09-13,"['email', 'phone']",8.0,t,95%,"Queens, New York, United States"
8986,55858529,2016-01-24,"['email', 'phone']",9.0,t,100%,
8987,34642159,2015-05-31,"['email', 'phone']",2.0,f,,
8988,27895636,2015-02-17,"['email', 'phone']",2.0,f,100%,
8990,50760546,2015-12-07,"['email', 'phone']",42.0,f,22%,
9021,407864820,2021-06-18,"['email', 'phone']",4.0,f,100%,"Brooklyn, New York, United States"
9022,6714376,2013-06-03,"['email', 'phone']",2.0,f,100%,"New York, United States"
9023,1256874,2011-10-06,"['email', 'phone']",3.0,t,100%,"Queens, New York, United States"
9024,758152,2011-06-29,"['email', 'phone']",3.0,t,,"Queens, New York, United States"
9025,67958522,2016-04-19,"['email', 'phone']",2.0,f,,"New York, United States"
9026,492448702,2022-12-22,"['email', 'phone']",3.0,f,,
9027,90930266,2016-08-20,"['email', 'phone', 'work_email']",4.0,t,100%,
9031,449343904,2022-03-13,"['email', 'phone']",1.0,f,100%,
9032,22736811,2014-10-19,"['email', 'phone', 'work_email']",2.0,t,90%,"Brooklyn, New York, United States"
9033,6105375,2013-04-26,"['email', 'phone']",1.0,f,100%,"Brooklyn, New York, United States"
9034,6880288,2013-06-12,"['email', 'phone']",48.0,f,,
9035,256697785,2019-04-18,"['email', 'phone']",2.0,f,100%,"Brooklyn, New York, United States"
9036,62317991,2016-03-09,"['email', 'phone', 'work_email']",1.0,f,100%,"Brooklyn, New York, United States"
9037,8902883,2013-09-17,"['email', 'phone']",1.0,f,,"New York, United States"
9038,77719880,2016-06-14,"['email', 'phone']",3.0,f,0%,"Queens, New York, United States"
9039,11638358,2014-01-25,"['email', 'phone']",8.0,f,100%,"Brooklyn, New York, United States"
9041,3038325,2012-07-24,"['email', 'phone']",1.0,f,100%,"Brooklyn, New York, United States"
9042,6582421,2013-05-26,"['email', 'phone']",4.0,f,100%,"Brooklyn, New York, United States"
9043,680818,2011-06-08,"['email', 'phone']",1.0,f,100%,"Brooklyn, New York, United States"
9044,305323614,2019-10-29,"['email', 'phone']",2.0,,100%,"Brooklyn, New York, United States"
9045,17571,2009-05-17,"['email', 'phone']",2.0,t,100%,"Brooklyn, New York, United States"
9047,243115572,2019-02-14,['phone'],1.0,f,100%,
9048,85560653,2016-07-23,['phone'],3.0,f,100%,"New York, United States"
9051,487965479,2022-11-16,"['email', 'phone']",8.0,f,92%,
9055,143779251,2017-08-01,"['email', 'phone']",7.0,,100%,"New York, United States"
9057,16176030,2014-05-30,"['email', 'phone']",3.0,f,60%,"Astoria, New York, United States"
9059,459609591,2022-05-17,"['email', 'phone']",1.0,f,100%,"Brooklyn, New York, United States"
9060,419579,2011-03-02,"['email', 'phone']",1.0,t,100%,"Brooklyn, New York, United States"
9061,491834352,2022-12-17,"['email', 'phone']",1.0,f,,
9062,3577509,2012-09-15,"['email', 'phone']",2.0,t,100%,"Brooklyn, New York, United States"
9063,404734114,2021-06-01,['phone'],1.0,f,70%,
9064,35474485,2015-06-10,"['email', 'phone']",1.0,t,100%,"Brooklyn, New York, United States"
9065,452685778,2022-04-04,"['email', 'phone']",2.0,t,100%,
9067,1683860,2012-02-01,"['email', 'phone']",1.0,t,100%,"New York, United States"
9068,182990602,2018-04-07,"['email', 'phone']",2.0,t,100%,"Brooklyn, New York, United States"
9069,111293940,2017-01-13,"['email', 'phone']",3.0,t,94%,
9072,270414511,2019-06-22,"['email', 'phone']",2.0,t,100%,"New York, United States"
9074,940724,2011-08-08,"['email', 'phone']",2.0,f,100%,"New York, United States"
9075,357325811,2020-07-19,"['email', 'phone']",2.0,t,100%,"Brooklyn, New York, United States"
9076,1864338,2012-03-05,"['email', 'phone', 'work_email']",2.0,f,100%,"Brooklyn, New York, United States"
9077,14927662,2014-04-30,"['email', 'phone']",2.0,f,100%,
9078,501589992,2023-02-17,"['phone', 'work_email']",6.0,f,100%,"Queens, New York, United States"
9081,60908748,2016-02-29,"['email', 'phone', 'work_email']",3.0,t,98%,"Brooklyn , New York, United States"
9083,5268758,2013-02-28,"['email', 'phone']",3.0,t,100%,"Queens, New York, United States"
9085,383117231,2021-01-05,"['phone', 'work_email']",4.0,f,100%,
9087,436579802,2021-12-19,"['email', 'phone']",4.0,t,100%,
9089,58581532,2016-02-13,"['email', 'phone']",1.0,f,,"Brooklyn, New York, United States"
9090,5407403,2013-03-10,"['email', 'phone']",1.0,f,,"New York, United States"
9091,36728751,2015-06-25,"['email', 'phone', 'work_email']",7.0,f,30%,
9092,457926465,2022-05-07,"['email', 'phone']",1.0,t,100%,"Brooklyn, New York, United States"
9093,480237147,2022-09-19,['phone'],11.0,,100%,"Queens, New York, United States"
9095,111968083,2017-01-17,['phone'],1.0,f,40%,
9096,1535032,2011-12-25,"['email', 'phone']",1.0,t,100%,"Brooklyn, New York, United States"
9097,113939505,2017-01-30,['phone'],4.0,f,,
9098,37625475,2015-07-05,"['email', 'phone']",1.0,f,100%,"Brooklyn, New York, United States"
9099,367231035,2020-09-12,"['email', 'phone']",1.0,f,,
9100,28187447,2015-02-22,"['email', 'phone']",2.0,t,90%,"Brooklyn, New York, United States"
9101,410129149,2021-06-30,['phone'],1.0,f,100%,"Queens, New York, United States"
9102,1874429,2012-03-07,"['email', 'phone']",2.0,t,100%,"Brooklyn, New York, United States"
9103,16151285,2014-05-29,"['email', 'phone']",7.0,f,20%,
9107,64091336,2016-03-22,"['email', 'phone']",1.0,f,100%,
9108,99804239,2016-10-15,"['email', 'phone']",1.0,t,90%,"8425 Elmhurst avenue , New York, United States"
9109,481502481,2022-09-29,['phone'],3.0,f,100%,
9111,11045893,2014-01-05,"['email', 'phone']",1.0,t,92%,"Brooklyn, New York, United States"
9112,9786357,2013-11-03,"['email', 'phone', 'work_email']",5.0,f,100%,"brooklyn, New York, United States"
9113,40237377,2015-08-01,"['email', 'phone']",2.0,f,,
9114,461777806,2022-05-30,['phone'],1.0,t,100%,"Brooklyn, New York, United States"
9115,136406167,2017-06-22,"['email', 'phone']",1.0,f,100%,"Long Island City, New York, United States"
9116,93339222,2016-09-03,"['email', 'phone']",2.0,t,100%,"Brooklyn, New York, United States"
9118,521117331,2023-06-20,['phone'],1.0,f,100%,"Queens, New York, United States"
9119,16261306,2014-06-01,"['email', 'phone']",3.0,t,100%,"Brooklyn, New York, United States"
9120,391286807,2021-03-05,"['email', 'phone']",7.0,f,100%,
9127,50045329,2015-11-28,"['email', 'phone']",9.0,f,100%,
9129,47139,2009-10-20,"['email', 'phone', 'work_email']",2.0,f,,"Brooklyn, New York, United States"
9130,7755411,2013-07-27,"['email', 'phone']",3.0,t,100%,
9131,494941408,2023-01-08,"['email', 'phone']",1.0,f,100%,"Queens, New York, United States"
9132,54217635,2016-01-11,"['email', 'phone']",1.0,t,100%,
9133,35168353,2015-06-06,"['email', 'phone']",2.0,t,100%,"Queens, New York, United States"
9134,428147699,2021-10-19,['phone'],2.0,f,50%,"New York, United States"
9135,318743673,2019-12-18,"['email', 'phone']",1.0,t,100%,"Queens, New York, United States"
9136,588270,2011-05-14,"['email', 'phone']",4.0,f,100%,
9138,64119235,2016-03-23,"['email', 'phone']",5.0,t,100%,"Queens, New York, United States"
9142,465532852,2022-06-22,"['email', 'phone']",2.0,f,100%,
9143,503552815,2023-03-02,"['email', 'phone']",1.0,t,88%,
9144,76854135,2016-06-09,"['email', 'phone']",1.0,f,100%,"Brooklyn, New York, United States"
9145,2370635,2012-05-14,"['email', 'phone']",1.0,t,100%,"Queens, New York, United States"
9146,204346423,2018-07-22,"['email', 'phone']",3.0,f,,"Brooklyn, New York, United States"
9147,62736996,2016-03-13,['phone'],1.0,f,,"Brooklyn, New York, United States"
9148,36791609,2015-06-26,"['email', 'phone']",1.0,f,100%,
9149,179026754,2018-03-17,"['email', 'phone']",4.0,t,100%,"Brooklyn, New York, United States"
9153,96659533,2016-09-25,"['email', 'phone']",4.0,t,100%,"Brooklyn, New York, United States"
9157,67523,2010-01-04,"['email', 'phone', 'work_email']",3.0,f,100%,"Brooklyn, New York, United States"
9158,438458895,2022-01-01,"['email', 'phone']",2.0,f,0%,
9159,391900768,2021-03-10,"['email', 'phone']",1.0,f,0%,
9160,26692286,2015-01-25,"['email', 'phone', 'work_email']",1.0,f,100%,
9161,1793022,2012-02-22,['phone'],3.0,f,,"Brooklyn, New York, United States"
9162,5800767,2013-04-06,['phone'],1.0,f,100%,"Brooklyn, New York, United States"
9163,94467583,2016-09-10,"['email', 'phone']",1.0,t,100%,
9164,334383362,2020-02-07,"['email', 'phone']",7.0,f,100%,
9171,166414791,2018-01-07,"['email', 'phone']",1.0,t,100%,"Brooklyn, New York, United States"
9172,121434641,2017-03-19,"['email', 'phone']",3.0,f,100%,"Brooklyn , New York, United States"
9173,52862385,2015-12-31,"['email', 'phone']",2.0,t,100%,"Brooklyn, New York, United States"
9175,20985215,2014-09-05,"['email', 'phone']",2.0,f,94%,"Brooklyn, New York, United States"
9177,329582733,2020-01-21,"['email', 'phone']",1.0,f,100%,"Brooklyn, New York, United States"
9178,11379822,2014-01-17,"['email', 'phone']",3.0,t,90%,"Bronx, New York, United States"
9181,403045170,2021-05-23,"['email', 'phone']",1.0,f,,
9182,4393006,2012-12-12,"['email', 'phone', 'work_email']",2.0,f,100%,
9183,153886003,2017-10-09,"['email', 'phone']",2.0,t,100%,"Queens, New York, United States"
9184,373968580,2020-10-31,"['email', 'phone']",30.0,f,100%,"Brooklyn, New York, United States"
9190,2737373,2012-06-25,"['email', 'phone', 'work_email']",1.0,f,,
9191,457438946,2022-05-04,"['email', 'phone']",1.0,f,100%,"Queens, New York, United States"
9192,67118749,2016-04-13,"['email', 'phone']",1.0,f,100%,"Brooklyn, New York, United States"
9193,17055374,2014-06-20,"['email', 'phone', 'work_email']",1.0,t,100%,"Brooklyn, New York, United States"
9194,361855,2011-01-25,"['email', 'phone', 'work_email']",3.0,t,100%,"New York, United States"
9196,431522934,2021-11-12,['phone'],2.0,f,100%,
9197,163374912,2017-12-19,"['email', 'phone']",1.0,t,100%,"Queens, New York, United States"
9198,215183568,2018-09-13,['phone'],13.0,f,90%,
9199,9427289,2013-10-14,"['email', 'phone', 'work_email']",1.0,t,100%,"Queens, New York, United States"
9200,373790863,2020-10-29,['phone'],6.0,f,90%,"Brooklyn, New York, United States"
9206,25341839,2014-12-29,['phone'],4.0,f,,
9209,381694419,2020-12-26,"['email', 'phone']",1.0,f,100%,
9210,6447462,2013-05-18,"['email', 'phone']",3.0,f,,
9211,216411482,2018-09-20,"['email', 'phone']",3.0,f,,"Queens, New York, United States"
9212,409207154,2021-06-26,"['email', 'phone']",5.0,f,89%,"Brooklyn, New York, United States"
9213,109567034,2017-01-03,"['email', 'phone']",2.0,f,100%,"Queens, Flushing , New York, United States"
9214,6954579,2013-06-17,"['email', 'phone']",1.0,f,,
9215,114590,2010-04-27,"['email', 'phone', 'work_email']",2.0,f,100%,"Brooklyn, New York, United States"
9216,280926705,2019-07-31,"['email', 'phone']",4.0,t,100%,
9218,27181542,2015-02-03,['phone'],51.0,f,89%,
9256,67985770,2016-04-19,"['email', 'phone']",17.0,f,100%,
9262,513757747,2023-05-08,"['email', 'phone']",1.0,f,94%,"Brooklyn, New York, United States"
9263,173708969,2018-02-16,"['email', 'phone']",6.0,f,50%,
9265,190874836,2018-05-21,"['email', 'phone', 'work_email']",1.0,t,100%,
9266,7813520,2013-07-30,"['email', 'phone', 'work_email']",4.0,f,100%,"Brooklyn, New York, United States"
9267,6548077,2013-05-23,"['email', 'phone']",1.0,f,,"Brooklyn, New York, United States"
9268,162280872,2017-12-11,"['email', 'phone']",322.0,,97%,
9473,514630902,2023-05-14,['phone'],1.0,f,96%,
9474,48593753,2015-11-09,"['email', 'phone']",7.0,f,60%,
9481,92168817,2016-08-27,"['email', 'phone']",1.0,f,,"Brooklyn, New York, United States"
9482,533572882,2023-08-24,['phone'],1.0,f,100%,
9483,100205617,2016-10-18,"['email', 'phone']",1.0,f,100%,"Brooklyn, New York, United States"
9484,29651137,2015-03-19,['phone'],4.0,f,76%,
9486,24419810,2014-12-02,"['email', 'phone']",1.0,f,,"Brooklyn, New York, United States"
9487,321519461,2019-12-27,"['email', 'phone']",4.0,f,0%,
9488,43764567,2015-09-09,"['email', 'phone']",2.0,f,80%,
9489,266577166,2019-06-05,"['email', 'phone']",5.0,t,100%,
9494,91169920,2016-08-21,"['email', 'phone']",2.0,f,100%,
9495,104967836,2016-11-23,['phone'],1.0,f,80%,
9496,41932662,2015-08-19,"['email', 'phone']",2.0,f,,"New York, United States"
9497,40905570,2015-08-08,"['email', 'phone']",2.0,t,50%,"Brooklyn, New York, United States"
9498,351339834,2020-06-22,"['email', 'phone']",1.0,t,100%,"Bronx, New York, United States"
9499,55468128,2016-01-20,"['email', 'phone']",3.0,f,50%,"Brooklyn, New York, United States"
9500,251817531,2019-03-28,['phone'],11.0,f,100%,"Brooklyn, New York, United States"
9505,420132354,2021-08-25,"['email', 'phone']",1.0,f,100%,
9506,502984756,2023-02-26,['phone'],1.0,f,100%,
9507,307627544,2019-11-06,"['email', 'phone']",1.0,f,100%,"Brooklyn, New York, United States"
9508,482565750,2022-10-06,"['email', 'phone']",1.0,f,100%,"The Bronx, New York, United States"
9509,6378149,2013-05-14,"['email', 'phone', 'work_email']",1.0,t,80%,"Brooklyn, New York, United States"
9510,2787,2008-09-07,"['email', 'phone']",13.0,f,100%,"Brooklyn, New York, United States"
9514,133634083,2017-06-05,"['email', 'phone', 'work_email']",2.0,f,100%,"New York, United States"
9515,481048209,2022-09-25,"['email', 'phone', 'work_email']",3.0,t,100%,
9516,57885474,2016-02-08,"['email', 'phone']",5.0,f,90%,"The Bronx, New York, United States"
9521,407304997,2021-06-15,"['email', 'phone']",55.0,f,100%,"New York, United States"
9560,3686796,2012-09-26,"['email', 'phone']",1.0,t,100%,"Brooklyn, New York, United States"
9561,40236384,2015-08-01,"['email', 'phone']",2.0,f,,
9563,427184,2011-03-07,"['email', 'phone']",5.0,f,92%,"Bronx, New York, United States"
9565,2432237,2012-05-21,"['email', 'phone']",2.0,f,100%,"Brooklyn, New York, United States"
9566,265420923,2019-05-31,['phone'],3.0,f,100%,"Queens, New York, United States"
9568,8083568,2013-08-11,"['email', 'phone']",2.0,f,0%,"Queens, New York, United States"
9569,109930093,2017-01-05,"['email', 'phone', 'work_email']",7.0,f,33%,
9571,265651637,2019-06-01,"['email', 'phone']",2.0,f,100%,"Brooklyn, New York, United States"
9572,10196579,2013-11-22,"['email', 'phone']",4.0,f,100%,
9574,109479467,2017-01-02,"['email', 'phone']",2.0,f,,"Ozone Park, New York, United States"
9575,23129690,2014-10-29,"['email', 'phone']",1.0,f,,
9576,293911,2010-11-21,"['email', 'phone']",3.0,t,100%,"Brooklyn, New York, United States"
9577,228146367,2018-11-28,"['email', 'phone']",2.0,t,90%,
9578,43941981,2015-09-11,['phone'],1.0,f,71%,
9579,3599030,2012-09-17,"['email', 'phone']",3.0,f,0%,
9580,53887408,2016-01-08,"['email', 'phone']",1.0,t,95%,"Brooklyn, New York, United States"
9581,1149419,2011-09-12,"['email', 'phone', 'work_email']",2.0,t,100%,"Brooklyn, New York, United States"
9582,72466752,2016-05-17,"['email', 'phone']",1.0,f,100%,"Brooklyn, New York, United States"
9583,3187466,2012-08-07,"['email', 'phone', 'work_email']",1.0,t,,"The Bronx, New York, United States"
9584,137381819,2017-06-27,"['email', 'phone']",1.0,f,,
9585,22866409,2014-10-22,"['email', 'phone']",1.0,t,100%,
9586,8712217,2013-09-08,"['email', 'phone']",2.0,f,100%,"Queens, New York, United States"
9587,9252640,2013-10-06,"['email', 'phone']",1.0,f,100%,
9588,17775359,2014-07-07,"['email', 'phone']",65.0,t,100%,"Brooklyn, New York, United States"
9631,92561578,2016-08-30,"['email', 'phone', 'work_email']",10.0,f,100%,"Bronx, New York, United States"
9635,453528099,2022-04-09,"['email', 'phone']",2.0,f,67%,"The Bronx, New York, United States"
9636,335973546,2020-02-13,"['email', 'phone']",4.0,f,88%,
9637,4170464,2012-11-17,"['email', 'phone']",5.0,f,100%,
9639,378886166,2020-12-08,"['email', 'phone']",2.0,f,100%,
9640,22010249,2014-10-01,"['email', 'phone']",7.0,f,100%,"Bushwick Brooklyn , New York, United States"
9641,91753911,2016-08-24,['phone'],2.0,f,100%,"Brooklyn, New York, United States"
9643,23708009,2014-11-13,"['email', 'phone']",8.0,t,90%,"New York, United States"
9644,155702726,2017-10-22,"['email', 'phone']",1.0,f,0%,"Brooklyn, New York, United States"
9645,121544270,2017-03-19,"['email', 'phone']",3.0,f,100%,"The Bronx, New York, United States"
9647,22980167,2014-10-26,"['email', 'phone']",1.0,t,100%,"New York, United States"
9648,16782911,2015-03-05,"['email', 'phone', 'work_email']",3.0,f,100%,"Brooklyn , New York, United States"
9649,149296850,2017-09-05,"['email', 'phone']",9.0,f,,"Brooklyn, New York, United States"
9652,254846,2010-10-06,"['email', 'phone']",5.0,f,100%,"Brooklyn, New York, United States"
9656,259463629,2019-05-02,"['email', 'phone']",1.0,f,100%,
9657,466189703,2022-06-26,"['email', 'phone']",3.0,f,,"Queens, New York, United States"
9658,105758291,2016-11-30,"['email', 'phone']",1.0,t,100%,"Brooklyn , New York, United States"
9659,1343630,2011-10-27,"['email', 'phone']",2.0,t,100%,"Brooklyn, New York, United States"
9660,79322329,2016-06-22,"['email', 'phone']",1.0,t,100%,"Brooklyn, New York, United States"
9661,129525574,2017-05-09,"['email', 'phone']",1.0,f,100%,"Brooklyn, New York, United States"
9662,457157525,2022-05-02,['phone'],4.0,t,100%,"Queens, New York, United States"
9666,1029021,2011-08-28,"['email', 'phone', 'work_email']",8.0,f,100%,"Brooklyn, New York, United States"
9670,35520775,2015-06-10,"['email', 'phone']",1.0,f,100%,
9671,26388856,2015-01-19,"['email', 'phone']",2.0,t,100%,"Queens, New York, United States"
9672,109162710,2016-12-30,"['email', 'phone']",1.0,f,50%,
9673,203981093,2018-07-21,"['email', 'phone']",2.0,f,100%,"Brooklyn, New York, United States"
9674,423200663,2021-09-15,"['email', 'phone']",4.0,t,100%,"Brooklyn, New York, United States"
9676,110372496,2017-01-07,"['email', 'phone']",1.0,f,,"New York, United States"
9677,417850661,2021-08-10,"['email', 'phone']",3.0,t,100%,
9679,1821771,2012-02-27,"['email', 'phone']",2.0,f,100%,"Fort Greene, Brooklyn, New York, United States"
9680,390761622,2021-03-02,"['email', 'phone']",1.0,f,76%,
9681,32939046,2015-05-09,"['email', 'phone']",1.0,f,0%,
9682,412998473,2021-07-14,"['email', 'phone']",2.0,f,100%,"Brooklyn, New York, United States"
9684,208365297,2018-08-08,"['email', 'phone']",6.0,t,100%,"Queens, New York, United States"
9689,46860545,2015-10-18,"['email', 'phone']",4.0,f,100%,
9692,361653027,2020-08-10,"['email', 'phone']",1.0,f,94%,"The Bronx, New York, United States"
9693,364558,2011-01-27,"['email', 'phone']",4.0,f,100%,"New York, United States"
9694,481395079,2022-09-28,"['email', 'phone']",2.0,f,96%,"Brooklyn, New York, United States"
9696,82518,2010-02-18,"['email', 'phone']",5.0,f,100%,
9697,24294060,2014-11-29,"['email', 'phone']",6.0,f,100%,"Queens , New York, United States"
9700,73873252,2016-05-25,"['email', 'phone']",2.0,f,100%,"Brooklyn, New York, United States"
9701,390730096,2021-03-01,['phone'],1.0,f,0%,
9702,6721139,2013-06-03,"['email', 'phone']",2.0,f,100%,"Brooklyn, New York, United States"
9703,109306113,2017-01-01,"['email', 'phone', 'work_email']",2.0,f,0%,"Brooklyn, New York, United States"
9704,113471507,2017-01-27,"['email', 'phone']",2.0,t,100%,
9705,341649066,2020-03-14,['phone'],2.0,f,100%,
9706,6950389,2013-06-16,"['email', 'phone', 'work_email']",4.0,f,9%,
9708,204092320,2018-07-21,"['email', 'phone']",2.0,f,100%,"New York, United States"
9709,420263983,2021-08-26,['phone'],1.0,t,100%,"Queens, New York, United States"
9710,505240543,2023-03-13,"['email', 'phone']",8.0,t,100%,
9718,244581878,2019-02-21,"['email', 'phone']",1.0,f,100%,"New York, United States"
9719,14019268,2014-04-07,"['email', 'phone']",2.0,t,100%,"Brooklyn, New York, United States"
9721,44262594,2015-09-15,['phone'],3.0,f,100%,"Brooklyn, New York, United States"
9722,49736436,2015-11-23,"['email', 'phone']",7.0,t,100%,"New York, United States"
9724,194509734,2018-06-09,"['email', 'phone']",3.0,f,20%,
9725,801975,2011-07-10,"['email', 'phone']",3.0,t,100%,"Brooklyn, New York, United States"
9727,288162140,2019-08-22,['phone'],6.0,,95%,
9729,20843936,2014-09-02,"['email', 'phone', 'work_email']",2.0,t,90%,"Bronx, New York, United States"
9731,2423570,2012-05-20,"['email', 'phone']",1.0,f,100%,"New York, United States"
9732,198224331,2018-06-26,"['email', 'phone']",1.0,f,100%,"New York, United States"
9733,99547346,2016-10-13,"['email', 'phone']",3.0,f,100%,"New York, United States"
9736,274078776,2019-07-06,"['email', 'phone']",2.0,f,100%,
9737,392191524,2021-03-12,"['email', 'phone']",1.0,f,100%,"Brooklyn, New York, United States"
9738,1781401,2012-02-20,"['email', 'phone']",1.0,t,100%,"Brooklyn, New York, United States"
9739,12398671,2014-02-19,['phone'],1.0,f,100%,"Queens, New York, United States"
9740,96978953,2016-09-27,['phone'],1.0,t,100%,"Brooklyn, New York, United States"
9741,170957928,2018-01-31,"['email', 'phone']",1.0,f,,"Brooklyn, New York, United States"
9742,305387117,2019-10-29,"['email', 'phone']",21.0,t,100%,
9751,381148614,2020-12-22,['phone'],1.0,f,60%,
9752,169873853,2018-01-25,"['email', 'phone']",4.0,t,100%,
9756,40800717,2015-08-07,"['email', 'phone']",8.0,f,100%,"New York, United States"
9757,419181958,2021-08-19,"['email', 'phone']",2.0,f,100%,"Brooklyn, New York, United States"
9759,35214397,2015-06-07,"['email', 'phone']",3.0,t,80%,"Queens, New York, United States"
9761,19902271,2014-08-12,"['email', 'phone']",2.0,f,90%,
9763,11699652,2014-01-27,"['email', 'phone']",3.0,t,100%,"Brooklyn, New York, United States"
9764,398018,2011-02-18,"['email', 'phone']",2.0,f,78%,"Brooklyn, New York, United States"
9766,174951066,2018-02-23,"['email', 'phone']",28.0,f,100%,"New York, United States"
9767,11769840,2014-01-29,"['email', 'phone', 'work_email']",3.0,t,100%,"Brooklyn, New York, United States"
9769,128594804,2017-05-02,"['email', 'phone']",2.0,t,100%,"New York, United States"
9770,38465372,2015-07-14,"['email', 'phone']",1.0,t,100%,"Brooklyn, New York, United States"
9771,154032932,2017-10-10,"['email', 'phone']",3.0,f,100%,"New York, United States"
9772,23293950,2014-11-03,"['email', 'phone']",1.0,f,100%,"Brooklyn, New York, United States"
9773,52064945,2015-12-23,"['email', 'phone']",1.0,f,100%,"Brooklyn, New York, United States"
9774,305613328,2019-10-31,"['email', 'phone']",2.0,t,100%,
9775,3711362,2012-09-29,"['email', 'phone']",2.0,f,100%,"Brooklyn, New York, United States"
9776,512939555,2023-05-03,"['email', 'phone']",1.0,f,100%,"Queens, New York, United States"
9777,22405856,2014-10-11,"['email', 'phone']",2.0,f,0%,
9778,10671495,2013-12-17,"['email', 'phone']",2.0,t,100%,"Brooklyn, New York, United States"
9779,7291044,2013-07-04,"['email', 'phone']",7.0,f,100%,
9780,503124824,2023-02-27,"['email', 'phone']",1.0,t,100%,
9781,431217543,2021-11-10,"['email', 'phone']",1.0,f,100%,
9782,12851900,2014-03-06,"['email', 'phone']",1.0,t,100%,"LONG ISLAND CITY, New York, United States"
9783,123215557,2017-03-29,"['email', 'phone']",1.0,f,100%,"Queens, New York, United States"
9784,464320122,2022-06-14,"['email', 'phone']",2.0,f,100%,"Bronx, New York, United States"
9786,497083839,2023-01-20,"['email', 'phone']",3.0,t,100%,
9787,115307231,2017-02-07,"['phone', 'work_email']",3.0,f,100%,"Bronx, New York, United States"
9788,4075380,2012-11-06,"['email', 'phone']",4.0,f,100%,"Brooklyn, New York, United States"
9790,343623135,2020-04-11,"['email', 'phone']",1.0,f,100%,"New York, United States"
9791,520235078,2023-06-15,['phone'],1.0,f,100%,
9792,33749897,2015-05-19,"['email', 'phone']",4.0,t,100%,"Brooklyn, New York, United States"
9793,1436482,2011-11-23,"['email', 'phone']",4.0,f,100%,"Brooklyn, New York, United States"
9794,63162150,2016-03-15,"['email', 'phone']",3.0,t,100%,"Queens, New York, United States"
9795,8610441,2013-09-03,"['email', 'phone']",4.0,t,100%,"Brooklyn, New York, United States"
9796,88059414,2016-08-05,"['email', 'phone']",2.0,f,100%,
9798,8977237,2013-09-21,"['email', 'phone']",2.0,f,,
9799,388433334,2021-02-13,"['email', 'phone']",4.0,f,100%,"The Bronx, New York, United States"
9802,504164662,2023-03-06,['phone'],1.0,f,100%,
9803,10263251,2013-11-25,['phone'],2.0,f,90%,
9805,24268565,2014-11-28,"['email', 'phone']",1.0,t,100%,"Brooklyn, New York, United States"
9806,348318408,2020-06-01,"['email', 'phone']",4.0,f,,
9807,172366460,2018-02-08,"['email', 'phone']",2.0,f,0%,"Brooklyn, New York, United States"
9809,149483822,2017-09-06,['phone'],2.0,f,100%,"Queens, New York, United States"
